time,latitude,longitude,depth,mag,,
2020-04-20T18:13:32.752Z,-6.481,143.4235,10,4.6,,
2020-04-20T11:51:25.397Z,28.2262,142.896,10,4.5,,
2020-04-20T11:38:52.810Z,31.1978,130.389,158.91,4.7,,
2020-04-20T08:16:14.991Z,38.7023,70.3378,10,4.5,,
2020-04-20T08:11:34.035Z,26.7483,126.6762,106.92,4.6,,
2020-04-20T03:54:49.607Z,64.5806,-17.6704,10,5.1,,
2020-04-20T03:25:08.585Z,49.5667,155.3668,69.77,4.6,,
2020-04-20T00:34:34.770Z,-15.3243,167.5669,109.08,5.2,,
2020-04-19T20:39:05.984Z,38.9119,141.9318,38,6.3,,
2020-04-19T20:30:47.314Z,6.7689,124.9686,10,4.7,,
2020-04-19T19:16:22.246Z,-8.906,-109.2263,10,4.6,,
2020-04-19T16:51:20.933Z,-18.3026,169.4012,10,4.7,,
2020-04-19T16:46:56.870Z,-56.2751,-142.7644,10,5,,
2020-04-19T13:09:31.429Z,4.0145,126.1648,18.7,5.1,,
2020-04-19T12:00:43.856Z,-56.2723,-27.5656,107.29,4.9,,
2020-04-19T03:45:02.849Z,-30.3533,-177.4582,10,4.8,,
2020-04-19T03:40:49.856Z,-19.6599,-172.3316,10,4.7,,
2020-04-19T03:22:40.593Z,-23.6576,69.4596,10,4.6,,
2020-04-19T01:57:18.211Z,-3.922,151.6688,10,4.7,,
2020-04-19T01:12:59.350Z,-18.4397,-174.473,87.4,4.7,,
2020-04-18T22:55:47.636Z,-30.4118,-177.5334,10,4.6,,
2020-04-18T22:34:13.528Z,14.3484,144.3112,10,4.6,,
2020-04-18T22:22:49.670Z,-30.2096,-177.571,10,4.7,,
2020-04-18T22:22:00.401Z,-30.3895,-177.6621,10,4.8,,
2020-04-18T22:19:04.562Z,-30.3648,-177.6128,10,4.9,,
2020-04-18T21:09:06.608Z,-30.4246,-177.6575,26.06,5,,
2020-04-18T20:53:32.367Z,-23.7334,69.2141,10,4.5,,
2020-04-18T18:05:30.525Z,-23.7135,69.5137,10,4.8,,
2020-04-18T17:45:38.693Z,0.3359,125.4882,70.58,5,,
2020-04-18T09:24:17.792Z,27.187,140.0669,467.68,5.7,,
2020-04-18T08:27:50.753Z,-27.7021,-67.8309,128.02,4.6,,
2020-04-18T08:25:37.081Z,27.1271,140.1312,453,6.6,,
2020-04-18T07:34:43.668Z,-23.6944,69.5278,10,4.8,,
2020-04-18T04:36:36.395Z,-18.3703,169.3933,10,4.6,,
2020-04-18T03:51:02.631Z,-19.539,-172.4895,10,4.6,,
2020-04-18T03:31:55.280Z,-19.4561,-172.4016,10,4.7,,
2020-04-18T02:08:09.511Z,-1.0311,-22.1844,10,4.9,,
2020-04-17T23:33:51.050Z,18.6644,145.9126,149.64,4.6,,
2020-04-17T16:30:48.429Z,-23.7683,69.4332,10,5.7,,
2020-04-17T16:05:40.617Z,-6.1888,151.7427,10,4.5,,
2020-04-17T14:56:54.495Z,65.8939,-37.684,10,4.5,,
2020-04-17T14:06:51.104Z,10.5514,142.823,26.22,4.6,,
2020-04-17T12:28:52.203Z,52.7086,-34.5226,10,4.5,,
2020-04-17T12:05:07.388Z,52.7638,-34.6781,10,5,,
2020-04-17T11:41:24.888Z,-6.4562,152.2342,10,4.5,,
2020-04-17T06:26:57.935Z,-6.1508,151.6132,24.84,4.7,,
2020-04-17T05:06:32.768Z,51.9067,179.7115,144.63,4.7,,
2020-04-17T02:39:01.059Z,46.2352,150.6151,64.01,4.6,,
2020-04-17T01:57:45.769Z,2.4117,128.3354,64.34,4.5,,
2020-04-17T00:30:06.208Z,36.3494,70.6608,159.32,4.7,,
2020-04-17T00:22:45.357Z,55.9717,-153.3077,7.3,5.4,,
2020-04-16T23:22:46.682Z,-23.8824,-179.8269,513.96,4.6,,
2020-04-16T21:23:51.110Z,26.0784,128.476,10,5,,
2020-04-16T21:22:29.768Z,26.005,128.5694,10,5.3,,
2020-04-16T21:03:26.306Z,52.7753,-34.4454,10,4.5,,
2020-04-16T19:55:59.769Z,52.6537,-34.7727,10,4.5,,
2020-04-16T19:23:22.342Z,-23.0343,-175.0553,10,4.6,,
2020-04-16T17:38:23.102Z,-10.3663,161.2485,46.01,5,,
2020-04-16T15:13:06.050Z,-37.9702,-73.8016,13.7,5.1,,
2020-04-16T12:58:12.731Z,-60.3154,-26.1886,35,4.7,,
2020-04-16T11:45:23.956Z,22.7822,94.0248,10,5.9,,
